Version,Resolution,Threads,RGBtoHSV,Image_Blur,Image_Subtraction,Image_Sharpening,Histogram_Processing,HSVtoRGB,Total_Time
Serial,2334x3108,1,492.721,751.253,67.4462,76.3585,134.229,380.874,1902.88
Serial,1945x2590,1,352.254,524.006,44.8013,50.7792,92.3251,217.533,1281.7
Serial,778x1036,1,59.6659,88.709,7.85579,8.42821,16.1635,37.7413,218.564
Serial,2723x3626,1,753.106,1078.07,98.408,116.363,254.466,596.162,2896.57
Serial,389x518,1,15.2471,20.8577,1.98179,2.35577,4.2619,10.0772,54.7815
Serial,1556x2072,1,225.653,331.584,32.277,37.2422,60.0021,152.056,838.815
Serial,1167x1554,1,130.352,189.396,16.7648,18.4448,32.4764,81.4879,468.921
OpenMP,778x1036,2,18.3752,60.8705,7.19901,3.95591,11.5475,11.053,113.001
OpenMP,1945x2590,1,224.637,592.255,51.6687,34.6152,100.428,86.9483,1090.55
OpenMP,2723x3626,2,319.971,804.679,70.5224,41.3342,126.013,102.715,1465.23
OpenMP,2723x3626,4,204.282,717.613,54.0586,36.6542,81.2197,67.3815,1161.21
OpenMP,1167x1554,8,25.2954,89.1533,7.63579,4.64553,10.372,9.3863,146.488
OpenMP,1556x2072,8,46.2647,150.18,12.9075,8.72197,16.9879,17.0956,252.158
OpenMP,1945x2590,4,102.181,331.311,20.9716,13.0916,38.6111,27.9467,534.113
OpenMP,2334x3108,2,205.954,550.78,47.9446,30.7148,107.552,93.7572,1036.7
OpenMP,1556x2072,1,149.976,368.006,36.7867,21.0164,62.1789,56.2219,694.187
OpenMP,389x518,1,9.03933,24.2375,2.90259,1.54186,4.73158,4.06373,46.5166
OpenMP,778x1036,8,10.8542,37.4773,3.80612,2.13226,4.5046,5.3444,64.1189
OpenMP,2723x3626,8,154.161,462.143,38.7407,22.9985,52.4435,56.7476,787.234
OpenMP,1556x2072,2,104.678,263.615,21.2051,12.5598,37.5006,32.0691,471.627
OpenMP,1167x1554,2,47.2429,122.522,12.648,7.52903,21.7837,18.7357,230.461
OpenMP,2334x3108,1,308.666,809.004,73.9453,62.9762,181.245,152.737,1588.57
OpenMP,389x518,4,3.1982,9.90941,1.71462,0.931016,2.09978,2.2157,20.0687
OpenMP,778x1036,4,19.6783,65.9708,5.59978,3.16528,7.25961,6.70649,108.38
OpenMP,389x518,2,5.11794,14.8263,1.97503,1.03188,3.11445,2.76768,28.8332
OpenMP,1556x2072,4,53.9208,145.35,13.6807,8.73795,24.4134,21.9984,268.101
OpenMP,1945x2590,8,79.5051,225.788,19.8884,12.2455,24.699,24.843,386.969
OpenMP,2334x3108,8,123.983,342.394,31.0497,18.4667,38.5168,38.2426,592.652
OpenMP,2723x3626,1,422.408,1235.18,119.731,74.1094,219.875,181.684,2252.98
OpenMP,778x1036,1,49.0356,96.9292,9.8407,5.50992,16.2743,14.1561,191.746
OpenMP,1167x1554,1,85.6347,221.495,23.1769,13.2963,39.0692,29.6986,412.37
